Day,Date,UT Start,UT End,Site,Tel,Local Start,Local End
Tuesday,4-Dec,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Tuesday,4-Dec,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,5-Dec,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Wednesday,5-Dec,10:00:00,10:30:00,COJ,0m4a,10:00:00,10:30:00
Wednesday,5-Dec,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,5-Dec,15:15:00,15:45:00,OGG,0m4b,15:15:00,15:45:00
Thursday,6-Dec,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Thursday,6-Dec,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Friday,7-Dec,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Friday,7-Dec,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,11-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Tuesday,11-Dec,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,12-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,12-Dec,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Wednesday,12-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,12-Dec,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Thursday,13-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Thursday,13-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,14-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Friday,14-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,18-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Tuesday,18-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,19-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,19-Dec,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Wednesday,19-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,19-Dec,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Thursday,20-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Thursday,20-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,21-Dec,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Friday,21-Dec,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,8-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Tuesday,8-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,9-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,9-Jan,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Wednesday,9-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,9-Jan,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Thursday,10-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Thursday,10-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,11-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Friday,11-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,15-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Tuesday,15-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,16-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,16-Jan,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Wednesday,16-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,16-Jan,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Thursday,17-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Thursday,17-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,18-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Friday,18-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,22-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Tuesday,22-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,23-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,23-Jan,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Wednesday,23-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,23-Jan,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Thursday,24-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Thursday,24-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,25-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Friday,25-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,29-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Tuesday,29-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,30-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,30-Jan,10:15:00,10:45:00,COJ,0m4a,10:15:00,10:45:00
Wednesday,30-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,30-Jan,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Thursday,31-Jan,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Thursday,31-Jan,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,1-Feb,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Friday,1-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,5-Feb,10:15:00,10:45:00,COJ,2m0a,10:15:00,10:45:00
Tuesday,5-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,6-Feb,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Wednesday,6-Feb,10:00:00,10:30:00,COJ,0m4a,10:00:00,10:30:00
Wednesday,6-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,6-Feb,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Thursday,7-Feb,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Thursday,7-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,8-Feb,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Friday,8-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,12-Feb,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Tuesday,12-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,13-Feb,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Wednesday,13-Feb,10:00:00,10:30:00,COJ,0m4a,10:00:00,10:30:00
Wednesday,13-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,13-Feb,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Thursday,14-Feb,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Thursday,14-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,15-Feb,10:00:00,10:30:00,COJ,2m0a,10:00:00,10:30:00
Friday,15-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,19-Feb,9:45:00,10:15:00,COJ,2m0a,9:45:00,10:15:00
Tuesday,19-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,20-Feb,9:45:00,10:15:00,COJ,2m0a,9:45:00,10:15:00
Wednesday,20-Feb,9:45:00,10:15:00,COJ,0m4a,9:45:00,10:15:00
Wednesday,20-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,20-Feb,15:30:00,16:00:00,OGG,0m4b,15:30:00,16:00:00
Thursday,21-Feb,9:45:00,10:15:00,COJ,2m0a,9:45:00,10:15:00
Thursday,21-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Friday,22-Feb,9:45:00,10:15:00,COJ,2m0a,9:45:00,10:15:00
Friday,22-Feb,15:30:00,16:00:00,OGG,2m0a,15:30:00,16:00:00
Tuesday,26-Feb,9:45:00,10:15:00,COJ,2m0a,9:45:00,10:15:00
Tuesday,26-Feb,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,27-Feb,9:45:00,10:15:00,COJ,2m0a,9:45:00,10:15:00
Wednesday,27-Feb,9:45:00,10:15:00,COJ,0m4a,9:45:00,10:15:00
Wednesday,27-Feb,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,27-Feb,15:15:00,15:45:00,OGG,0m4b,15:15:00,15:45:00
Thursday,28-Feb,9:45:00,10:15:00,COJ,2m0a,9:45:00,10:15:00
Thursday,28-Feb,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Friday,1-Mar,9:45:00,10:15:00,COJ,2m0a,9:45:00,10:15:00
Friday,1-Mar,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,5-Mar,9:30:00,10:00:00,COJ,2m0a,9:30:00,10:00:00
Tuesday,5-Mar,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,6-Mar,9:30:00,10:00:00,COJ,2m0a,9:30:00,10:00:00
Wednesday,6-Mar,9:30:00,10:00:00,COJ,0m4a,9:30:00,10:00:00
Wednesday,6-Mar,15:15:00,15:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,6-Mar,15:15:00,15:45:00,OGG,0m4b,15:15:00,15:45:00
