Day,Date,UT Start,UT End,Site,Tel,Local Start,Local End
Friday,1-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Friday,1-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,5-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Tuesday,5-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,6-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Wednesday,6-Jun,8:15:00,8:45:00,COJ,0m4a,9:15:00,9:45:00
Wednesday,6-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,6-Jun,14:15:00,14:45:00,OGG,0m4b,15:15:00,15:45:00
Thursday,7-Jun,8:15:00,8:45:00,COJ,0m4a,9:15:00,9:45:00
Thursday,7-Jun,14:15:00,14:45:00,OGG,0m4b,15:15:00,15:45:00
Friday,8-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Friday,8-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,12-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Tuesday,12-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,13-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Wednesday,13-Jun,8:15:00,8:45:00,COJ,0m4a,9:15:00,9:45:00
Wednesday,13-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,13-Jun,14:15:00,14:45:00,OGG,0m4b,15:15:00,15:45:00
Thursday,14-Jun,8:15:00,8:45:00,COJ,0m4a,9:15:00,9:45:00
Thursday,14-Jun,14:15:00,14:45:00,OGG,0m4b,15:15:00,15:45:00
Friday,15-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Friday,15-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,19-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Tuesday,19-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,20-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Wednesday,20-Jun,8:15:00,8:45:00,COJ,0m4a,9:15:00,9:45:00
Wednesday,20-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,20-Jun,14:15:00,14:45:00,OGG,0m4b,15:15:00,15:45:00
Thursday,21-Jun,8:15:00,8:45:00,COJ,0m4a,9:15:00,9:45:00
Thursday,21-Jun,14:15:00,14:45:00,OGG,0m4b,15:15:00,15:45:00
Friday,22-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Friday,22-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Tuesday,26-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Tuesday,26-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,27-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Wednesday,27-Jun,8:15:00,8:45:00,COJ,0m4a,9:15:00,9:45:00
Wednesday,27-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,27-Jun,14:15:00,14:45:00,OGG,0m4b,15:15:00,15:45:00
Thursday,28-Jun,8:15:00,8:45:00,COJ,0m4a,9:15:00,9:45:00
Thursday,28-Jun,14:15:00,14:45:00,OGG,0m4b,15:15:00,15:45:00
Friday,29-Jun,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Friday,29-Jun,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,4-Jul,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Wednesday,4-Jul,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,11-Jul,8:15:00,8:45:00,COJ,2m0a,9:15:00,9:45:00
Wednesday,11-Jul,14:15:00,14:45:00,OGG,2m0a,15:15:00,15:45:00
Wednesday,18-Jul,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Wednesday,18-Jul,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,25-Jul,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Wednesday,25-Jul,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,1-Aug,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Wednesday,1-Aug,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,8-Aug,8:30:00,9:00:00,COJ,2m0a,9:30:00,10:00:00
Wednesday,8-Aug,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,15-Aug,8:45:00,9:15:00,COJ,2m0a,9:45:00,10:15:00
Wednesday,15-Aug,14:30:00,15:00:00,OGG,2m0a,15:30:00,16:00:00
Wednesday,22-Aug,8:45:00,9:15:00,COJ,2m0a,9:45:00,10:15:00
Wednesday,22-Aug,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Wednesday,29-Aug,8:45:00,9:15:00,COJ,2m0a,9:45:00,10:15:00
Wednesday,29-Aug,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Tuesday,4-Sep,8:45:00,9:15:00,COJ,2m0a,9:45:00,10:15:00
Tuesday,4-Sep,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Wednesday,5-Sep,8:45:00,9:15:00,COJ,2m0a,9:45:00,10:15:00
Wednesday,5-Sep,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Friday,7-Sep,8:45:00,9:15:00,COJ,2m0a,9:45:00,10:15:00
Friday,7-Sep,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Tuesday,11-Sep,9:00:00,9:30:00,COJ,2m0a,10:00:00,10:30:00
Tuesday,11-Sep,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Wednesday,12-Sep,9:00:00,9:30:00,COJ,2m0a,10:00:00,10:30:00
Wednesday,12-Sep,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Friday,14-Sep,9:00:00,9:30:00,COJ,2m0a,10:00:00,10:30:00
Friday,14-Sep,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Tuesday,18-Sep,9:00:00,9:30:00,COJ,2m0a,10:00:00,10:30:00
Tuesday,18-Sep,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Wednesday,19-Sep,9:00:00,9:30:00,COJ,2m0a,10:00:00,10:30:00
Wednesday,19-Sep,14:45:00,15:15:00,COJ,0m4a,15:45:00,16:15:00
Wednesday,19-Sep,9:00:00,9:30:00,OGG,2m0a,10:00:00,10:30:00
Wednesday,19-Sep,14:45:00,15:15:00,OGG,0m4b,15:45:00,16:15:00
Thursday,20-Sep,9:00:00,9:30:00,COJ,0m4a,10:00:00,10:30:00
Thursday,20-Sep,14:45:00,15:15:00,OGG,0m4b,15:45:00,16:15:00
Friday,21-Sep,9:00:00,9:30:00,COJ,2m0a,10:00:00,10:30:00
Friday,21-Sep,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Tuesday,25-Sep,9:00:00,9:30:00,COJ,2m0a,10:00:00,10:30:00
Tuesday,25-Sep,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Wednesday,26-Sep,9:00:00,9:30:00,COJ,2m0a,10:00:00,10:30:00
Wednesday,26-Sep,14:45:00,15:15:00,COJ,0m4a,15:45:00,16:15:00
Wednesday,26-Sep,9:00:00,9:30:00,OGG,2m0a,10:00:00,10:30:00
Wednesday,26-Sep,14:45:00,15:15:00,OGG,0m4b,15:45:00,16:15:00
Thursday,27-Sep,9:00:00,9:30:00,COJ,0m4a,10:00:00,10:30:00
Thursday,27-Sep,14:45:00,15:15:00,OGG,0m4b,15:45:00,16:15:00
Friday,28-Sep,9:00:00,9:30:00,COJ,2m0a,10:00:00,10:30:00
Friday,28-Sep,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Tuesday,2-Oct,9:00:00,9:30:00,COJ,2m0a,10:00:00,10:30:00
Tuesday,2-Oct,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Wednesday,3-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,3-Oct,14:45:00,15:15:00,COJ,0m4a,15:45:00,16:15:00
Wednesday,3-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,3-Oct,14:45:00,15:15:00,OGG,0m4b,15:45:00,16:15:00
Thursday,4-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Thursday,4-Oct,14:45:00,15:15:00,OGG,0m4b,15:45:00,16:15:00
Friday,5-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Friday,5-Oct,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Tuesday,9-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Tuesday,9-Oct,14:45:00,15:15:00,OGG,2m0a,15:45:00,16:15:00
Wednesday,10-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,10-Oct,14:45:00,15:15:00,COJ,0m4a,15:45:00,16:15:00
Wednesday,10-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,10-Oct,14:45:00,15:15:00,OGG,0m4b,15:45:00,16:15:00
Thursday,11-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Thursday,11-Oct,15:00:00,15:30:00,OGG,0m4b,16:00:00,16:30:00
Friday,12-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Friday,12-Oct,15:00:00,15:30:00,OGG,0m4b,16:00:00,16:30:00
Tuesday,16-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Tuesday,16-Oct,15:00:00,15:30:00,OGG,0m4b,16:00:00,16:30:00
Wednesday,17-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,17-Oct,15:00:00,15:30:00,OGG,0m4b,16:00:00,16:30:00
Wednesday,17-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Wednesday,17-Oct,15:00:00,15:30:00,OGG,0m4b,16:00:00,16:30:00
Thursday,18-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Thursday,18-Oct,15:00:00,15:30:00,OGG,0m4b,16:00:00,16:30:00
Friday,19-Oct,9:15:00,9:45:00,COJ,2m0a,10:15:00,10:45:00
Friday,19-Oct,15:00:00,15:30:00,OGG,0m4b,16:00:00,16:30:00
Tuesday,23-Oct,9:30:00,10:00:00,COJ,2m0a,10:30:00,11:00:00
Tuesday,23-Oct,15:00:00,15:30:00,OGG,0m4b,16:00:00,16:30:00
Wednesday,24-Oct,9:30:00,10:00:00,COJ,2m0a,10:30:00,11:00:00
Wednesday,24-Oct,15:00:00,15:30:00,OGG,0m4b,16:00:00,16:30:00
Wednesday,24-Oct,9:30:00,10:00:00,COJ,2m0a,10:30:00,11:00:00
Wednesday,24-Oct,15:00:00,15:30:00,OGG,0m4b,16:00:00,16:30:00
Thursday,25-Oct,9:30:00,10:00:00,COJ,2m0a,10:30:00,11:00:00
Thursday,25-Oct,15:00:00,15:30:00,OGG,0m4b,16:00:00,16:30:00
Friday,26-Oct,9:30:00,10:00:00,COJ,2m0a,10:30:00,11:00:00
Friday,26-Oct,15:00:00,15:30:00,OGG,0m4b,16:00:00,16:30:00
Tuesday,30-Oct,9:30:00,10:00:00,COJ,2m0a,9:30:00,10:00:00
Tuesday,30-Oct,15:00:00,15:30:00,OGG,0m4b,15:00:00,15:30:00
Wednesday,31-Oct,9:30:00,10:00:00,COJ,2m0a,9:30:00,10:00:00
Wednesday,31-Oct,15:00:00,15:30:00,OGG,0m4b,15:00:00,15:30:00
Wednesday,31-Oct,9:30:00,10:00:00,COJ,2m0a,9:30:00,10:00:00
Wednesday,31-Oct,15:00:00,15:30:00,OGG,0m4b,15:00:00,15:30:00
